Built-in,Description
in vec4 **FRAGCOORD**,"Coordinate of pixel center. In screen space. ``xy`` specifies position in viewport. Upper-left of the viewport is the origin, ``(0.0, 0.0)``."
in vec3 **NORMAL**,Input normal.
in vec4 **COLOR**,Input color. This is the output of the ``fragment()`` function.
in vec2 **UV**,"UV from the ``vertex()`` function, equivalent to the UV in the ``fragment()`` function."
sampler2D **TEXTURE**,Current texture in use for the CanvasItem.
in vec2 **TEXTURE_PIXEL_SIZE**,"Normalized pixel size of ``TEXTURE``. For a Sprite2D with a ``TEXTURE`` of size ``64x32`` pixels, **TEXTURE_PIXEL_SIZE** = ``vec2(1/64, 1/32)``"
in vec2 **SCREEN_UV**,Screen UV coordinate for the current pixel.
in vec2 **POINT_COORD**,UV for Point Sprite.
in vec4 **LIGHT_COLOR**,":ref:`Color<class_Light2D_property_color>` of the :ref:`class_Light2D`. If the light is a :ref:`class_PointLight2D`, multiplied by the light's :ref:`texture<class_PointLight2D_property_texture>`."
in float **LIGHT_ENERGY**,:ref:`Energy multiplier<class_Light2D_property_energy>` of the :ref:`class_Light2D`.
in vec3 **LIGHT_POSITION**,"Position of the :ref:`class_Light2D` in screen space. If using a :ref:`class_DirectionalLight2D` this is always ``(0.0, 0.0, 0.0)``."
in vec3 **LIGHT_DIRECTION**,Direction of the :ref:`class_Light2D` in screen space.
in bool **LIGHT_IS_DIRECTIONAL**,``true`` if this pass is a :ref:`class_DirectionalLight2D`.
in vec3 **LIGHT_VERTEX**,"Pixel position, in screen space as modified in the ``fragment()`` function."
inout vec4 **LIGHT**,Output color for this :ref:`class_Light2D`.
in vec4 **SPECULAR_SHININESS**,"Specular shininess, as set in the object's texture."
out vec4 **SHADOW_MODULATE**,Multiply shadows cast at this point by this color.
