Built-in,Description
in vec4 **FRAGCOORD**,"Coordinate of pixel center. In screen space. ``xy`` specifies position in viewport. Upper-left of the viewport is the origin, ``(0.0, 0.0)``."
in vec2 **SCREEN_PIXEL_SIZE**,Size of individual pixels. Equal to the inverse of resolution.
in vec4 **REGION_RECT**,"Visible area of the sprite region in format ``(x, y, width, height)``. Varies according to Sprite2D's ``region_enabled`` property."
in vec2 **POINT_COORD**,Coordinate for drawing points.
sampler2D **TEXTURE**,Default 2D texture.
in vec2 **TEXTURE_PIXEL_SIZE**,"Normalized pixel size of the default 2D texture. For a Sprite2D with a texture of size 64x32px, ``TEXTURE_PIXEL_SIZE`` = ``vec2(1/64, 1/32)``"
in bool **AT_LIGHT_PASS**,Always ``false``.
sampler2D **SPECULAR_SHININESS_TEXTURE**,Specular shininess texture of this object.
in vec4 **SPECULAR_SHININESS**,"Specular shininess color, as sampled from the texture."
in vec2 **UV**,"UV from the ``vertex()`` function. For a Sprite2D with region enabled, this will sample the entire texture. Use ``REGION_RECT`` instead to sample only the region defined in the Sprite2D's properties."
in vec2 **SCREEN_UV**,Screen UV coordinate for the current pixel.
sampler2D **SCREEN_TEXTURE**,Removed in Godot 4. Use a ``sampler2D`` with ``hint_screen_texture`` instead.
inout vec3 **NORMAL**,Normal read from ``NORMAL_TEXTURE``. Writable.
sampler2D **NORMAL_TEXTURE**,Default 2D normal texture.
out vec3 **NORMAL_MAP**,"Configures normal maps meant for 3D for use in 2D. If used, overrides ``NORMAL``."
out float **NORMAL_MAP_DEPTH**,Normal map depth for scaling.
inout vec2 **VERTEX**,Pixel position in screen space.
inout vec2 **SHADOW_VERTEX**,Same as ``VERTEX`` but can be written to alter shadows.
inout vec3 **LIGHT_VERTEX**,Same as ``VERTEX`` but can be written to alter lighting. Z component represents height.
inout vec4 **COLOR**,``COLOR`` from the ``vertex()`` function multiplied by the ``TEXTURE`` color. Also output color value.
