Render mode,Description
**blend_mix**,"Mix blend mode (alpha is transparency), default."
**blend_add**,Additive blend mode.
**blend_sub**,Subtractive blend mode.
**blend_mul**,Multiplicative blend mode.
**blend_premul_alpha**,Pre-multiplied alpha blend mode.
**blend_disabled**,"Disable blending, values (including alpha) are written as-is."
**unshaded**,Result is just albedo. No lighting/shading happens in material.
**light_only**,Only draw in the light pass.
**skip_vertex_transform**,``VERTEX`` needs to be transformed manually in the ``vertex()`` function.
**world_vertex_coords**,``VERTEX`` is modified in world coordinates instead of local.
