Built-in,Description
in mat4 **MODEL_MATRIX**,Local space to world space transform. World space is the coordinates you normally use in the editor.
in mat4 **CANVAS_MATRIX**,"World space to canvas space transform. In canvas space the origin is the upper-left corner of the screen and coordinates range from ``(0.0, 0.0)`` to viewport size."
in mat4 **SCREEN_MATRIX**,"Canvas space to clip space transform. In clip space coordinates range from ``(-1.0, -1.0)`` to ``(1.0, 1.0).``"
in int  **INSTANCE_ID**,Instance ID for instancing.
in vec4 **INSTANCE_CUSTOM**,Instance custom data.
in bool **AT_LIGHT_PASS**,Always ``false``.
in vec2 **TEXTURE_PIXEL_SIZE**,"Normalized pixel size of the default 2D texture. For a Sprite2D with a texture of size 64x32px, **TEXTURE_PIXEL_SIZE** = ``vec2(1.0/64.0, 1.0/32.0)``"
inout vec2 **VERTEX**,"Vertex position, in local space."
in int **VERTEX_ID**,The index of the current vertex in the vertex buffer.
inout vec2 **UV**,Normalized texture coordinates. Range from ``0.0`` to ``1.0``.
inout vec4 **COLOR**,Color from vertex primitive multiplied by the CanvasItem's :ref:`modulate<class_CanvasItem_property_modulate>` multiplied by CanvasItem's :ref:`self_modulate<class_CanvasItem_property_self_modulate>`.
inout float **POINT_SIZE**,Point size for point drawing.
in vec4 **CUSTOM0**,Custom value from vertex primitive.
in vec4 **CUSTOM1**,Custom value from vertex primitive.
