Built-in,Description
in float **TIME**,"Global time since the engine has started, in seconds. It repeats after every ``3,600`` seconds (which can be changed with the :ref:`rollover<class_ProjectSettings_property_rendering/limits/time/time_rollover_secs>` setting). It's affected by :ref:`time_scale<class_Engine_property_time_scale>` but not by pausing. If you need a ``TIME`` variable that is not affected by time scale, add your own :ref:`global shader uniform<doc_shading_language_global_uniforms>` and update it each frame."
in vec3 **POSITION**,"Camera position, in world space."
samplerCube **RADIANCE**,Radiance cubemap. Can only be read from during the background pass. Check ``!AT_CUBEMAP_PASS`` before using.
in bool **AT_HALF_RES_PASS**,``true`` when rendering to the half resolution pass.
in bool **AT_QUARTER_RES_PASS**,``true`` when rendering to the quarter resolution pass.
in bool **AT_CUBEMAP_PASS**,``true`` when rendering to the radiance cubemap.
in bool **LIGHTX_ENABLED**,"``true`` if ``LIGHTX`` is visible and in the scene. If ``false``, other light properties may be garbage."
in float **LIGHTX_ENERGY**,Energy multiplier for ``LIGHTX``.
in vec3 **LIGHTX_DIRECTION**,Direction that ``LIGHTX`` is facing.
in vec3 **LIGHTX_COLOR**,Color of ``LIGHTX``.
in float **LIGHTX_SIZE**,"Angular diameter of ``LIGHTX`` in the sky. Expressed in radians. For reference, the sun from earth is about .0087 radians (0.5 degrees)."
in float **PI**,A ``PI`` constant (``3.141592``). The ratio of a circle's circumference to its diameter and the number of radians in a half turn.
in float **TAU**,A ``TAU`` constant (``6.283185``). Equivalent to ``PI * 2`` and the number of radians in a full turn.
in float **E**,"An ``E`` constant (``2.718281``). Euler's number, the base of the natural logarithm."
