Built-in,Description
in vec2 **VIEWPORT_SIZE**,Size of viewport (in pixels).
in vec4 **FRAGCOORD**,Coordinate of pixel center in screen space. ``xy`` specifies position in window. Origin is upper left. ``z`` specifies fragment depth. It is also used as the output value for the fragment depth unless ``DEPTH`` is written to.
in bool **FRONT_FACING**,"``true`` if current face is front facing, ``false`` otherwise."
in vec3 **VIEW**,Normalized vector from fragment position to camera (in view space). This is the same for both perspective and orthogonal cameras.
in vec2 **UV**,UV that comes from the ``vertex()`` function.
in vec2 **UV2**,UV2 that comes from the ``vertex()`` function.
in vec4 **COLOR**,COLOR that comes from the ``vertex()`` function.
in vec2 **POINT_COORD**,Point coordinate for drawing points with ``POINT_SIZE``.
in mat4 **MODEL_MATRIX**,Model/local space to world space transform.
in mat3 **MODEL_NORMAL_MATRIX**,"Model/local space to world space transform for normals. This is the same as ``MODEL_MATRIX`` by default unless the object is scaled non-uniformly, in which case this is set to ``transpose(inverse(mat3(MODEL_MATRIX)))``."
in mat4 **VIEW_MATRIX**,World space to view space transform.
in mat4 **INV_VIEW_MATRIX**,View space to world space transform.
in mat4 **PROJECTION_MATRIX**,View space to clip space transform.
in mat4 **INV_PROJECTION_MATRIX**,Clip space to view space transform.
in vec3 **NODE_POSITION_WORLD**,"Node position, in world space."
in vec3 **NODE_POSITION_VIEW**,"Node position, in view space."
in vec3 **CAMERA_POSITION_WORLD**,"Camera position, in world space. Represents the midpoint of the two eyes when in multiview/stereo rendering."
in vec3 **CAMERA_DIRECTION_WORLD**,"Camera direction, in world space."
in uint **CAMERA_VISIBLE_LAYERS**,Cull layers of the camera rendering the current pass.
in vec3 **VERTEX**,"Position of the fragment (pixel), in view space. It is the ``VERTEX`` value from ``vertex()`` interpolated between the face's vertices and transformed into view space. If ``skip_vertex_transform`` is enabled, it may not be in view space."
inout vec3 **LIGHT_VERTEX**,A writable version of ``VERTEX`` that can be used to alter light and shadows. Writing to this will not change the position of the fragment.
in int **VIEW_INDEX**,"The view that we are rendering. Used to distinguish between views in multiview/stereo rendering. ``VIEW_MONO_LEFT`` (``0``) for Mono (not multiview) or left eye, ``VIEW_RIGHT`` (``1``) for right eye."
in int **VIEW_MONO_LEFT**,"Constant for Mono or left eye, always ``0``."
in int **VIEW_RIGHT**,"Constant for right eye, always ``1``."
in vec3 **EYE_OFFSET**,"Position offset for the eye being rendered, in view space. Only applicable for multiview rendering."
sampler2D **SCREEN_TEXTURE**,Removed in Godot 4. Use a ``sampler2D`` with ``hint_screen_texture`` instead.
in vec2 **SCREEN_UV**,Screen UV coordinate for the current pixel.
sampler2D **DEPTH_TEXTURE**,Removed in Godot 4. Use a ``sampler2D`` with ``hint_depth_texture`` instead.
out float **DEPTH**,"Custom depth value (range ``[0.0, 1.0]``). If ``DEPTH`` is written to in any shader branch, then you are responsible for setting ``DEPTH`` for **all** other branches. Otherwise, the graphics API will leave them uninitialized."
inout vec3 **NORMAL**,"Normal that comes from the ``vertex()`` function, in view space. If ``skip_vertex_transform`` is enabled, it may not be in view space."
