Built-in,Description
in vec2 **VIEWPORT_SIZE**,Size of viewport (in pixels).
in vec4 **FRAGCOORD**,"Coordinate of pixel center in screen space. ``xy`` specifies position in window, ``z`` specifies fragment depth if ``DEPTH`` is not used. Origin is lower-left."
in mat4 **MODEL_MATRIX**,Model/local space to world space transform.
in mat4 **INV_VIEW_MATRIX**,View space to world space transform.
in mat4 **VIEW_MATRIX**,World space to view space transform.
in mat4 **PROJECTION_MATRIX**,View space to clip space transform.
in mat4 **INV_PROJECTION_MATRIX**,Clip space to view space transform.
in vec3 **NORMAL**,"Normal vector, in view space."
in vec2 **SCREEN_UV**,Screen UV coordinate for the current pixel.
in vec2 **UV**,UV that comes from the ``vertex()`` function.
in vec2 **UV2**,UV2 that comes from the ``vertex()`` function.
in vec3 **VIEW**,"View vector, in view space."
in vec3 **LIGHT**,"Light vector, in view space."
in vec3 **LIGHT_COLOR**,:ref:`Light color<class_Light3D_property_light_color>` multiplied by :ref:`light energy<class_Light3D_property_light_energy>` multiplied by ``PI``. The ``PI`` multiplication is present because physically-based lighting models include a division by ``PI``.
in float **SPECULAR_AMOUNT**,"For :ref:`class_OmniLight3D` and :ref:`class_SpotLight3D`, ``2.0`` multiplied by :ref:`light_specular<class_Light3D_property_light_specular>`. For :ref:`class_DirectionalLight3D`, ``1.0``."
in bool **LIGHT_IS_DIRECTIONAL**,``true`` if this pass is a :ref:`class_DirectionalLight3D`.
in float **ATTENUATION**,Attenuation based on distance or shadow.
in vec3 **ALBEDO**,Base albedo.
in vec3 **BACKLIGHT**,
in float **METALLIC**,Metallic.
in float **ROUGHNESS**,Roughness.
out vec3 **DIFFUSE_LIGHT**,Diffuse light result.
out vec3 **SPECULAR_LIGHT**,Specular light result.
out float **ALPHA**,"Alpha (range ``[0.0, 1.0]``). If written to, the material will go to the transparent pipeline."
